box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.717508, 0.5486813, 8.476819, 445.3761, 223.1469
-7.708895, 0.5486813, 8.230162, 452.7311, 226.0114
-7.708895, 0.7249313, 8.230162, 452.7311, 212.0789
-7.908773, 0.5486813, 8.223182, 437.112, 226.0952
-7.708895, 0.5486813, 8.230162, 452.7311, 226.0114
-7.717508, 0.5486813, 8.476819, 445.3761, 223.1469
-7.917386, 0.5486813, 8.469839, 430.2425, 223.2255
-7.908773, 0.7249313, 8.223182, 437.112, 212.1498
-7.908773, 0.5486813, 8.223182, 437.112, 226.0952
-7.917386, 0.5486813, 8.469839, 430.2425, 223.2255
-7.917386, 0.7249314, 8.469839, 430.2425, 209.7195
-7.708895, 0.7249313, 8.230162, 452.7311, 212.0789
-7.708895, 0.5486813, 8.230162, 452.7311, 226.0114
-7.908773, 0.5486813, 8.223182, 437.112, 226.0952
-7.908773, 0.7249313, 8.223182, 437.112, 212.1498
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.096589, 1.369311, 8.225131, 422.2047, 161.1582
-8.296103, 1.369311, 8.239082, 406.1172, 161.1102
-8.279614, 1.369311, 8.47487, 402.3807, 160.3244
-8.080101, 1.369311, 8.460918, 417.9764, 160.3696
-8.279614, 1.369311, 8.47487, 402.3807, 160.3244
-8.279614, 1.204311, 8.47487, 402.3807, 172.9602
-8.080101, 1.204311, 8.460918, 417.9764, 173.0279
-8.080101, 1.369311, 8.460918, 417.9764, 160.3696
-8.080101, 1.369311, 8.460918, 417.9764, 160.3696
-8.080101, 1.204311, 8.460918, 417.9764, 173.0279
-8.096589, 1.204311, 8.225131, 422.2047, 174.21
-8.096589, 1.369311, 8.225131, 422.2047, 161.1582
-8.296103, 1.204311, 8.239082, 406.1172, 174.1381
-8.096589, 1.204311, 8.225131, 422.2047, 174.21
-8.080101, 1.204311, 8.460918, 417.9764, 173.0279
-8.279614, 1.204311, 8.47487, 402.3807, 172.9602
-8.296103, 1.369311, 8.239082, 406.1172, 161.1102
-8.296103, 1.204311, 8.239082, 406.1172, 174.1381
-8.279614, 1.204311, 8.47487, 402.3807, 172.9602
-8.279614, 1.369311, 8.47487, 402.3807, 160.3244
-8.096589, 1.369311, 8.225131, 422.2047, 161.1582
-8.096589, 1.204311, 8.225131, 422.2047, 174.21
-8.296103, 1.204311, 8.239082, 406.1172, 174.1381
-8.296103, 1.369311, 8.239082, 406.1172, 161.1102
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.084038, 1.534311, 8.23538, 422.9503, 148.0886
-8.283916, 1.534311, 8.2284, 407.3146, 148.1007
-8.292166, 1.534311, 8.464621, 401.6309, 147.7052
-8.092287, 1.534311, 8.471601, 416.8001, 147.6938
-8.292166, 1.534311, 8.464621, 401.6309, 147.7052
-8.292166, 1.369311, 8.464621, 401.6309, 160.3575
-8.092287, 1.369311, 8.471601, 416.8001, 160.335
-8.092287, 1.534311, 8.471601, 416.8001, 147.6938
-8.092287, 1.534311, 8.471601, 416.8001, 147.6938
-8.092287, 1.369311, 8.471601, 416.8001, 160.335
-8.084038, 1.369311, 8.23538, 422.9503, 161.1229
-8.084038, 1.534311, 8.23538, 422.9503, 148.0886
-8.283916, 1.369311, 8.2284, 407.3146, 161.1469
-8.084038, 1.369311, 8.23538, 422.9503, 161.1229
-8.092287, 1.369311, 8.471601, 416.8001, 160.335
-8.292166, 1.369311, 8.464621, 401.6309, 160.3575
-8.283916, 1.534311, 8.2284, 407.3146, 148.1007
-8.283916, 1.369311, 8.2284, 407.3146, 161.1469
-8.292166, 1.369311, 8.464621, 401.6309, 160.3575
-8.292166, 1.534311, 8.464621, 401.6309, 147.7052
-8.084038, 1.534311, 8.23538, 422.9503, 148.0886
-8.084038, 1.369311, 8.23538, 422.9503, 161.1229
-8.283916, 1.369311, 8.2284, 407.3146, 161.1469
-8.283916, 1.534311, 8.2284, 407.3146, 148.1007
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.101003, 1.699311, 8.222013, 421.9304, 135.0545
-8.299908, 1.699311, 8.242919, 405.7331, 135.0544
-8.275201, 1.699311, 8.477987, 402.654, 135.0527
-8.076296, 1.699311, 8.457082, 418.3559, 135.0529
-8.275201, 1.699311, 8.477987, 402.654, 135.0527
-8.275201, 1.534311, 8.477987, 402.654, 147.6835
-8.076296, 1.534311, 8.457082, 418.3559, 147.7174
-8.076296, 1.699311, 8.457082, 418.3559, 135.0529
-8.076296, 1.699311, 8.457082, 418.3559, 135.0529
-8.076296, 1.534311, 8.457082, 418.3559, 147.7174
-8.101003, 1.534311, 8.222013, 421.9304, 148.1117
-8.101003, 1.699311, 8.222013, 421.9304, 135.0545
-8.299908, 1.534311, 8.242919, 405.7331, 148.0757
-8.101003, 1.534311, 8.222013, 421.9304, 148.1117
-8.076296, 1.534311, 8.457082, 418.3559, 147.7174
-8.275201, 1.534311, 8.477987, 402.654, 147.6835
-8.299908, 1.699311, 8.242919, 405.7331, 135.0544
-8.299908, 1.534311, 8.242919, 405.7331, 148.0757
-8.275201, 1.534311, 8.477987, 402.654, 147.6835
-8.275201, 1.699311, 8.477987, 402.654, 135.0527
-8.101003, 1.699311, 8.222013, 421.9304, 135.0545
-8.101003, 1.534311, 8.222013, 421.9304, 148.1117
-8.299908, 1.534311, 8.242919, 405.7331, 148.0757
-8.299908, 1.699311, 8.242919, 405.7331, 135.0544
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.701157, 1.380775, 8.237725, 453.1303, 160.2095
-7.900062, 1.380775, 8.21682, 437.9673, 160.2791
-7.92586, 1.380775, 8.462276, 429.7765, 159.4859
-7.726955, 1.380775, 8.483181, 444.4868, 159.4206
-7.92586, 1.380775, 8.462276, 429.7765, 159.4859
-7.92586, 1.204525, 8.462276, 429.7765, 173.0049
-7.726955, 1.204525, 8.483181, 444.4868, 172.9037
-7.726955, 1.380775, 8.483181, 444.4868, 159.4206
-7.726955, 1.380775, 8.483181, 444.4868, 159.4206
-7.726955, 1.204525, 8.483181, 444.4868, 172.9037
-7.701157, 1.204525, 8.237725, 453.1303, 174.1282
-7.701157, 1.380775, 8.237725, 453.1303, 160.2095
-7.900062, 1.204525, 8.21682, 437.9673, 174.2361
-7.701157, 1.204525, 8.237725, 453.1303, 174.1282
-7.726955, 1.204525, 8.483181, 444.4868, 172.9037
-7.92586, 1.204525, 8.462276, 429.7765, 173.0049
-7.900062, 1.380775, 8.21682, 437.9673, 160.2791
-7.900062, 1.204525, 8.21682, 437.9673, 174.2361
-7.92586, 1.204525, 8.462276, 429.7765, 173.0049
-7.92586, 1.380775, 8.462276, 429.7765, 159.4859
-7.701157, 1.380775, 8.237725, 453.1303, 160.2095
-7.701157, 1.204525, 8.237725, 453.1303, 174.1282
-7.900062, 1.204525, 8.21682, 437.9673, 174.2361
-7.900062, 1.380775, 8.21682, 437.9673, 160.2791
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.724645, 1.557025, 8.21835, 451.8157, 146.3198
-7.923883, 1.557025, 8.235782, 435.5915, 146.2938
-7.902372, 1.557025, 8.48165, 431.1047, 145.9397
-7.703134, 1.557025, 8.464219, 446.8091, 145.9641
-7.902372, 1.557025, 8.48165, 431.1047, 145.9397
-7.902372, 1.380775, 8.48165, 431.1047, 159.4254
-7.703134, 1.380775, 8.464219, 446.8091, 159.4798
-7.703134, 1.557025, 8.464219, 446.8091, 145.9641
-7.703134, 1.557025, 8.464219, 446.8091, 145.9641
-7.703134, 1.380775, 8.464219, 446.8091, 159.4798
-7.724645, 1.380775, 8.21835, 451.8157, 160.274
-7.724645, 1.557025, 8.21835, 451.8157, 146.3198
-7.923883, 1.380775, 8.235782, 435.5915, 160.216
-7.724645, 1.380775, 8.21835, 451.8157, 160.274
-7.703134, 1.380775, 8.464219, 446.8091, 159.4798
-7.902372, 1.380775, 8.48165, 431.1047, 159.4254
-7.923883, 1.557025, 8.235782, 435.5915, 146.2938
-7.923883, 1.380775, 8.235782, 435.5915, 160.216
-7.902372, 1.380775, 8.48165, 431.1047, 159.4254
-7.902372, 1.557025, 8.48165, 431.1047, 145.9397
-7.724645, 1.557025, 8.21835, 451.8157, 146.3198
-7.724645, 1.380775, 8.21835, 451.8157, 160.274
-7.923883, 1.380775, 8.235782, 435.5915, 160.216
-7.923883, 1.557025, 8.235782, 435.5915, 146.2938
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.703134, 1.733275, 8.235782, 453.0287, 132.3716
-7.902372, 1.733275, 8.21835, 437.7444, 132.3656
-7.923883, 1.733275, 8.464219, 429.881, 132.4483
-7.724645, 1.733275, 8.48165, 444.7035, 132.454
-7.923883, 1.733275, 8.464219, 429.881, 132.4483
-7.923883, 1.557025, 8.464219, 429.881, 145.9641
-7.724645, 1.557025, 8.48165, 444.7035, 145.9397
-7.724645, 1.733275, 8.48165, 444.7035, 132.454
-7.724645, 1.733275, 8.48165, 444.7035, 132.454
-7.724645, 1.557025, 8.48165, 444.7035, 145.9397
-7.703134, 1.557025, 8.235782, 453.0287, 146.2938
-7.703134, 1.733275, 8.235782, 453.0287, 132.3716
-7.902372, 1.557025, 8.21835, 437.7444, 146.3198
-7.703134, 1.557025, 8.235782, 453.0287, 146.2938
-7.724645, 1.557025, 8.48165, 444.7035, 145.9397
-7.923883, 1.557025, 8.464219, 429.881, 145.9641
-7.902372, 1.733275, 8.21835, 437.7444, 132.3656
-7.902372, 1.557025, 8.21835, 437.7444, 146.3198
-7.923883, 1.557025, 8.464219, 429.881, 145.9641
-7.923883, 1.733275, 8.464219, 429.881, 132.4483
-7.703134, 1.733275, 8.235782, 453.0287, 132.3716
-7.703134, 1.557025, 8.235782, 453.0287, 146.2938
-7.902372, 1.557025, 8.21835, 437.7444, 146.3198
-7.902372, 1.733275, 8.21835, 437.7444, 132.3656
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.522299, 1.369311, 8.223553, 467.6796, 161.1636
-7.5429, 1.369311, 8.459017, 459.2425, 160.3757
-7.343661, 1.369311, 8.476448, 474.0095, 160.3193
-7.5429, 1.369311, 8.459017, 459.2425, 160.3757
-7.5429, 1.204311, 8.459017, 459.2425, 173.0372
-7.343661, 1.204311, 8.476448, 474.0095, 172.9525
-7.343661, 1.369311, 8.476448, 474.0095, 160.3193
-7.343661, 1.369311, 8.476448, 474.0095, 160.3193
-7.343661, 1.204311, 8.476448, 474.0095, 172.9525
-7.522299, 1.204311, 8.223553, 467.6796, 174.2182
-7.343661, 1.204311, 8.476448, 474.0095, 172.9525
-7.5429, 1.204311, 8.459017, 459.2425, 173.0372
-7.522299, 1.369311, 8.223553, 467.6796, 161.1636
-7.522299, 1.204311, 8.223553, 467.6796, 174.2182
-7.5429, 1.204311, 8.459017, 459.2425, 173.0372
-7.5429, 1.369311, 8.459017, 459.2425, 160.3757
-7.522299, 1.204311, 8.223553, 467.6796, 174.2182
-7.522299, 1.369311, 8.223553, 467.6796, 161.1636
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.520079, 1.534311, 8.222013, 467.9016, 148.1117
-7.544785, 1.534311, 8.457082, 459.1519, 147.7174
-7.345881, 1.534311, 8.477987, 473.7936, 147.6835
-7.544785, 1.534311, 8.457082, 459.1519, 147.7174
-7.544785, 1.369311, 8.457082, 459.1519, 160.382
-7.345881, 1.369311, 8.477987, 473.7936, 160.3143
-7.345881, 1.534311, 8.477987, 473.7936, 147.6835
-7.345881, 1.534311, 8.477987, 473.7936, 147.6835
-7.345881, 1.369311, 8.477987, 473.7936, 160.3143
-7.520079, 1.369311, 8.222013, 467.9016, 161.1689
-7.345881, 1.369311, 8.477987, 473.7936, 160.3143
-7.544785, 1.369311, 8.457082, 459.1519, 160.382
-7.520079, 1.534311, 8.222013, 467.9016, 148.1117
-7.520079, 1.369311, 8.222013, 467.9016, 161.1689
-7.544785, 1.369311, 8.457082, 459.1519, 160.382
-7.544785, 1.534311, 8.457082, 459.1519, 147.7174
-7.520079, 1.369311, 8.222013, 467.9016, 161.1689
-7.520079, 1.534311, 8.222013, 467.9016, 148.1117
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.520079, 1.699311, 8.222013, 467.9016, 135.0545
-7.544785, 1.699311, 8.457082, 459.1519, 135.0529
-7.345881, 1.699311, 8.477987, 473.7936, 135.0527
-7.544785, 1.699311, 8.457082, 459.1519, 135.0529
-7.544785, 1.534311, 8.457082, 459.1519, 147.7174
-7.345881, 1.534311, 8.477987, 473.7936, 147.6835
-7.345881, 1.699311, 8.477987, 473.7936, 135.0527
-7.345881, 1.699311, 8.477987, 473.7936, 135.0527
-7.345881, 1.534311, 8.477987, 473.7936, 147.6835
-7.520079, 1.534311, 8.222013, 467.9016, 148.1117
-7.345881, 1.534311, 8.477987, 473.7936, 147.6835
-7.544785, 1.534311, 8.457082, 459.1519, 147.7174
-7.520079, 1.699311, 8.222013, 467.9016, 135.0545
-7.520079, 1.534311, 8.222013, 467.9016, 148.1117
-7.544785, 1.534311, 8.457082, 459.1519, 147.7174
-7.544785, 1.699311, 8.457082, 459.1519, 135.0529
-7.520079, 1.534311, 8.222013, 467.9016, 148.1117
-7.520079, 1.699311, 8.222013, 467.9016, 135.0545
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.522299, 1.864311, 8.223553, 467.6796, 121.9999
-7.5429, 1.864311, 8.459017, 459.2425, 122.3914
-7.343661, 1.864311, 8.476448, 474.0095, 122.4195
-7.5429, 1.864311, 8.459017, 459.2425, 122.3914
-7.5429, 1.699311, 8.459017, 459.2425, 135.0529
-7.343661, 1.699311, 8.476448, 474.0095, 135.0527
-7.343661, 1.864311, 8.476448, 474.0095, 122.4195
-7.343661, 1.864311, 8.476448, 474.0095, 122.4195
-7.343661, 1.699311, 8.476448, 474.0095, 135.0527
-7.522299, 1.699311, 8.223553, 467.6796, 135.0545
-7.343661, 1.699311, 8.476448, 474.0095, 135.0527
-7.5429, 1.699311, 8.459017, 459.2425, 135.0529
-7.522299, 1.864311, 8.223553, 467.6796, 121.9999
-7.522299, 1.699311, 8.223553, 467.6796, 135.0545
-7.5429, 1.699311, 8.459017, 459.2425, 135.0529
-7.5429, 1.864311, 8.459017, 459.2425, 122.3914
-7.522299, 1.699311, 8.223553, 467.6796, 135.0545
-7.522299, 1.864311, 8.223553, 467.6796, 121.9999
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.535028, 2.029311, 8.233582, 466.3732, 108.9798
-7.530902, 2.029311, 8.46991, 459.8568, 109.7651
-7.330933, 2.029311, 8.466419, 475.2852, 109.7539
-7.530902, 2.029311, 8.46991, 459.8568, 109.7651
-7.530902, 1.864311, 8.46991, 459.8568, 122.409
-7.330933, 1.864311, 8.466419, 475.2852, 122.4034
-7.330933, 2.029311, 8.466419, 475.2852, 109.7539
-7.330933, 2.029311, 8.466419, 475.2852, 109.7539
-7.330933, 1.864311, 8.466419, 475.2852, 122.4034
-7.535028, 1.864311, 8.233582, 466.3732, 122.0171
-7.330933, 1.864311, 8.466419, 475.2852, 122.4034
-7.530902, 1.864311, 8.46991, 459.8568, 122.409
-7.535028, 2.029311, 8.233582, 466.3732, 108.9798
-7.535028, 1.864311, 8.233582, 466.3732, 122.0171
-7.530902, 1.864311, 8.46991, 459.8568, 122.409
-7.530902, 2.029311, 8.46991, 459.8568, 109.7651
-7.535028, 1.864311, 8.233582, 466.3732, 122.0171
-7.535028, 2.029311, 8.233582, 466.3732, 108.9798
box_1_Parle-G-GOLD(Clone) stack 48 Shelf_2 Rack_1_0_0
-8.074084, 2.560843, 8.245652, 423.4884, 67.08922
-8.274085, 2.560843, 8.245652, 407.7106, 67.08922
-8.274085, 2.560843, 8.454349, 403.2316, 68.90291
-8.074084, 2.560843, 8.454349, 418.588, 68.90291
-8.274085, 2.560843, 8.454349, 403.2316, 68.90291
-8.274085, 2.388343, 8.454349, 403.2316, 82.14775
-8.074084, 2.388343, 8.454349, 418.588, 82.14775
-8.074084, 2.560843, 8.454349, 418.588, 68.90291
-8.074084, 2.560843, 8.454349, 418.588, 68.90291
-8.074084, 2.388343, 8.454349, 418.588, 82.14775
-8.074084, 2.388343, 8.245652, 423.4884, 80.69751
-8.074084, 2.560843, 8.245652, 423.4884, 67.08922
-8.274085, 2.388343, 8.245652, 407.7106, 80.69751
-8.074084, 2.388343, 8.245652, 423.4884, 80.69751
-8.074084, 2.388343, 8.454349, 418.588, 82.14775
-8.274085, 2.388343, 8.454349, 403.2316, 82.14775
-8.274085, 2.560843, 8.245652, 407.7106, 67.08922
-8.274085, 2.388343, 8.245652, 407.7106, 80.69751
-8.274085, 2.388343, 8.454349, 403.2316, 82.14775
-8.274085, 2.560843, 8.454349, 403.2316, 68.90291
-8.074084, 2.560843, 8.245652, 423.4884, 67.08922
-8.074084, 2.388343, 8.245652, 423.4884, 80.69751
-8.274085, 2.388343, 8.245652, 407.7106, 80.69751
-8.274085, 2.560843, 8.245652, 407.7106, 67.08922
box_8_lizol(Clone) stack 49 Shelf_2 Rack_1_0_0
-7.7016, 2.565368, 8.21835, 453.6402, 66.48628
-7.900839, 2.565368, 8.235782, 437.4117, 66.64352
-7.879328, 2.565368, 8.48165, 432.868, 68.78677
-7.680089, 2.565368, 8.464219, 448.5763, 68.63925
-7.879328, 2.565368, 8.48165, 432.868, 68.78677
-7.879328, 2.389118, 8.48165, 432.868, 82.27245
-7.680089, 2.389118, 8.464219, 448.5763, 82.15498
-7.680089, 2.565368, 8.464219, 448.5763, 68.63925
-7.680089, 2.565368, 8.464219, 448.5763, 68.63925
-7.680089, 2.389118, 8.464219, 448.5763, 82.15498
-7.7016, 2.389118, 8.21835, 453.6402, 80.44051
-7.7016, 2.565368, 8.21835, 453.6402, 66.48628
-7.900839, 2.389118, 8.235782, 437.4117, 80.5657
-7.7016, 2.389118, 8.21835, 453.6402, 80.44051
-7.680089, 2.389118, 8.464219, 448.5763, 82.15498
-7.879328, 2.389118, 8.48165, 432.868, 82.27245
-7.900839, 2.565368, 8.235782, 437.4117, 66.64352
-7.900839, 2.389118, 8.235782, 437.4117, 80.5657
-7.879328, 2.389118, 8.48165, 432.868, 82.27245
-7.879328, 2.565368, 8.48165, 432.868, 68.78677
-7.7016, 2.565368, 8.21835, 453.6402, 66.48628
-7.7016, 2.389118, 8.21835, 453.6402, 80.44051
-7.900839, 2.389118, 8.235782, 437.4117, 80.5657
-7.900839, 2.565368, 8.235782, 437.4117, 66.64352
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.503727, 2.599012, 8.253551, 468.2462, 64.15167
-7.496747, 2.599012, 8.453429, 462.9433, 65.96407
-7.296869, 2.599012, 8.446449, 478.5052, 65.90234
-7.496747, 2.599012, 8.453429, 462.9433, 65.96407
-7.496747, 2.389012, 8.453429, 462.9433, 82.09015
-7.296869, 2.389012, 8.446449, 478.5052, 82.04285
-7.296869, 2.599012, 8.446449, 478.5052, 65.90234
-7.296869, 2.599012, 8.446449, 478.5052, 65.90234
-7.296869, 2.389012, 8.446449, 478.5052, 82.04285
-7.503727, 2.389012, 8.253551, 468.2462, 80.70111
-7.296869, 2.389012, 8.446449, 478.5052, 82.04285
-7.496747, 2.389012, 8.453429, 462.9433, 82.09015
-7.503727, 2.599012, 8.253551, 468.2462, 64.15167
-7.503727, 2.389012, 8.253551, 468.2462, 80.70111
-7.496747, 2.389012, 8.453429, 462.9433, 82.09015
-7.496747, 2.599012, 8.453429, 462.9433, 65.96407
-7.503727, 2.389012, 8.253551, 468.2462, 80.70111
-7.503727, 2.599012, 8.253551, 468.2462, 64.15167
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.502028, 2.809012, 8.25176, 468.4338, 47.58167
-7.498538, 2.809012, 8.451731, 462.8542, 49.81947
-7.298568, 2.809012, 8.44824, 478.3199, 49.78139
-7.498538, 2.809012, 8.451731, 462.8542, 49.81947
-7.498538, 2.599012, 8.451731, 462.8542, 65.94907
-7.298568, 2.599012, 8.44824, 478.3199, 65.9182
-7.298568, 2.809012, 8.44824, 478.3199, 49.78139
-7.298568, 2.809012, 8.44824, 478.3199, 49.78139
-7.298568, 2.599012, 8.44824, 478.3199, 65.9182
-7.502028, 2.599012, 8.25176, 468.4338, 64.13499
-7.298568, 2.599012, 8.44824, 478.3199, 65.9182
-7.498538, 2.599012, 8.451731, 462.8542, 65.94907
-7.502028, 2.809012, 8.25176, 468.4338, 47.58167
-7.502028, 2.599012, 8.25176, 468.4338, 64.13499
-7.498538, 2.599012, 8.451731, 462.8542, 65.94907
-7.498538, 2.809012, 8.451731, 462.8542, 49.81947
-7.502028, 2.599012, 8.25176, 468.4338, 64.13499
-7.502028, 2.809012, 8.25176, 468.4338, 47.58167
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.505394, 3.019012, 8.255371, 468.0602, 31.07762
-7.494927, 3.019012, 8.455097, 463.0355, 33.73352
-7.295202, 3.019012, 8.44463, 478.689, 33.59769
-7.494927, 3.019012, 8.455097, 463.0355, 33.73352
-7.494927, 2.809012, 8.455097, 463.0355, 49.85616
-7.295202, 2.809012, 8.44463, 478.689, 49.74196
-7.295202, 3.019012, 8.44463, 478.689, 33.59769
