box_5_LMRR(Clone) stack 41 Shelf_0 Rack_1_0_0
-7.544582, 0.0191559, 8.256677, 437.363, 267.4077
-7.522768, 0.0191559, 8.46423, 433.8005, 263.8953
-7.522768, 0.1916559, 8.46423, 433.8005, 250.6672
-7.345678, 0.1916559, 8.235771, 453.618, 254.1461
-7.345678, 0.0191559, 8.235771, 453.618, 267.7721
-7.544582, 0.0191559, 8.256677, 437.363, 267.4077
-7.544582, 0.1916559, 8.256677, 437.363, 253.8191
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.1961813, 8.21682, 423.9885, 254.0858
-7.925492, 0.1961813, 8.237725, 407.7745, 253.7581
-7.899693, 0.1961813, 8.483181, 404.4976, 250.0415
-7.700789, 0.1961813, 8.462276, 420.1939, 250.349
-7.899693, 0.1961813, 8.483181, 404.4976, 250.0415
-7.899693, 0.0199313, 8.483181, 404.4976, 263.5245
-7.700789, 0.0199313, 8.462276, 420.1939, 263.868
-7.700789, 0.1961813, 8.462276, 420.1939, 250.349
-7.700789, 0.1961813, 8.462276, 420.1939, 250.349
-7.700789, 0.0199313, 8.462276, 420.1939, 263.868
-7.726587, 0.0199313, 8.21682, 423.9885, 268.0428
-7.726587, 0.1961813, 8.21682, 423.9885, 254.0858
-7.925492, 0.0199313, 8.237725, 407.7745, 267.6767
-7.726587, 0.0199313, 8.21682, 423.9885, 268.0428
-7.700789, 0.0199313, 8.462276, 420.1939, 263.868
-7.899693, 0.0199313, 8.483181, 404.4976, 263.5245
-7.925492, 0.1961813, 8.237725, 407.7745, 253.7581
-7.925492, 0.0199313, 8.237725, 407.7745, 267.6767
-7.899693, 0.0199313, 8.483181, 404.4976, 263.5245
-7.899693, 0.1961813, 8.483181, 404.4976, 250.0415
-7.726587, 0.1961813, 8.21682, 423.9885, 254.0858
-7.726587, 0.0199313, 8.21682, 423.9885, 268.0428
-7.925492, 0.0199313, 8.237725, 407.7745, 267.6767
-7.925492, 0.1961813, 8.237725, 407.7745, 253.7581
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.698847, 0.3724313, 8.239703, 425.6246, 239.8122
-7.897356, 0.3724313, 8.215329, 410.4991, 240.1494
-7.927434, 0.3724313, 8.460298, 402.8505, 236.8556
-7.728925, 0.3724313, 8.484672, 417.5275, 236.5391
-7.927434, 0.3724313, 8.460298, 402.8505, 236.8556
-7.927434, 0.1961813, 8.460298, 402.8505, 250.3781
-7.728925, 0.1961813, 8.484672, 417.5275, 250.0196
-7.728925, 0.3724313, 8.484672, 417.5275, 236.5391
-7.728925, 0.3724313, 8.484672, 417.5275, 236.5391
-7.728925, 0.1961813, 8.484672, 417.5275, 250.0196
-7.698847, 0.1961813, 8.239703, 425.6246, 253.7272
-7.698847, 0.3724313, 8.239703, 425.6246, 239.8122
-7.897356, 0.1961813, 8.215329, 410.4991, 254.1092
-7.698847, 0.1961813, 8.239703, 425.6246, 253.7272
-7.728925, 0.1961813, 8.484672, 417.5275, 250.0196
-7.927434, 0.1961813, 8.460298, 402.8505, 250.3781
-7.897356, 0.3724313, 8.215329, 410.4991, 240.1494
-7.897356, 0.1961813, 8.215329, 410.4991, 254.1092
-7.927434, 0.1961813, 8.460298, 402.8505, 250.3781
-7.927434, 0.3724313, 8.460298, 402.8505, 236.8556
-7.698847, 0.3724313, 8.239703, 425.6246, 239.8122
-7.698847, 0.1961813, 8.239703, 425.6246, 253.7272
-7.897356, 0.1961813, 8.215329, 410.4991, 254.1092
-7.897356, 0.3724313, 8.215329, 410.4991, 240.1494
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.726587, 0.5486813, 8.21682, 423.9885, 226.1717
-7.925492, 0.5486813, 8.237725, 407.7745, 225.9208
-7.899693, 0.5486813, 8.483181, 404.4976, 223.0754
-7.700789, 0.5486813, 8.462276, 420.1939, 223.3108
-7.899693, 0.5486813, 8.483181, 404.4976, 223.0754
-7.899693, 0.3724313, 8.483181, 404.4976, 236.5584
-7.700789, 0.3724313, 8.462276, 420.1939, 236.8299
-7.700789, 0.5486813, 8.462276, 420.1939, 223.3108
-7.700789, 0.5486813, 8.462276, 420.1939, 223.3108
-7.700789, 0.3724313, 8.462276, 420.1939, 236.8299
-7.726587, 0.3724313, 8.21682, 423.9885, 240.1287
-7.726587, 0.5486813, 8.21682, 423.9885, 226.1717
-7.925492, 0.3724313, 8.237725, 407.7745, 239.8394
-7.726587, 0.3724313, 8.21682, 423.9885, 240.1287
-7.700789, 0.3724313, 8.462276, 420.1939, 236.8299
-7.899693, 0.3724313, 8.483181, 404.4976, 236.5584
-7.925492, 0.5486813, 8.237725, 407.7745, 225.9208
-7.925492, 0.3724313, 8.237725, 407.7745, 239.8394
-7.899693, 0.3724313, 8.483181, 404.4976, 236.5584
-7.899693, 0.5486813, 8.483181, 404.4976, 223.0754
-7.726587, 0.5486813, 8.21682, 423.9885, 226.1717
-7.726587, 0.3724313, 8.21682, 423.9885, 240.1287
-7.925492, 0.3724313, 8.237725, 407.7745, 239.8394
-7.925492, 0.5486813, 8.237725, 407.7745, 225.9208
box_8_lizol(Clone) stack 43 Shelf_0 Rack_1_0_0
-7.708895, 0.7249313, 8.230162, 425.0637, 212.0789
-7.908773, 0.7249313, 8.223182, 409.4191, 212.1498
-7.917386, 0.7249314, 8.469839, 403.4221, 209.7195
-7.717508, 0.7249314, 8.476819, 418.5795, 209.6529
-7.917386, 0.7249314, 8.469839, 403.4221, 209.7195
-7.917386, 0.5486813, 8.469839, 403.4221, 223.2255
-7.717508, 0.5486813, 8.476819, 418.5795, 223.1469
-7.717508, 0.7249314, 8.476819, 418.5795, 209.6529
-7.717508, 0.7249314, 8.476819, 418.5795, 209.6529
-7.717508, 0.5486813, 8.476819, 418.5795, 223.1469
-7.708895, 0.5486813, 8.230162, 425.0637, 226.0114
-7.708895, 0.7249313, 8.230162, 425.0637, 212.0789
-7.908773, 0.5486813, 8.223182, 409.4191, 226.0952
-7.708895, 0.5486813, 8.230162, 425.0637, 226.0114
-7.717508, 0.5486813, 8.476819, 418.5795, 223.1469
-7.917386, 0.5486813, 8.469839, 403.4221, 223.2255
-7.908773, 0.7249313, 8.223182, 409.4191, 212.1498
-7.908773, 0.5486813, 8.223182, 409.4191, 226.0952
-7.917386, 0.5486813, 8.469839, 403.4221, 223.2255
-7.917386, 0.7249314, 8.469839, 403.4221, 209.7195
-7.708895, 0.7249313, 8.230162, 425.0637, 212.0789
-7.708895, 0.5486813, 8.230162, 425.0637, 226.0114
-7.908773, 0.5486813, 8.223182, 409.4191, 226.0952
-7.908773, 0.7249313, 8.223182, 409.4191, 212.1498
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.096589, 1.369311, 8.225131, 394.519, 161.1582
-8.296103, 1.369311, 8.239082, 378.4823, 161.1102
-8.279614, 1.369311, 8.47487, 375.5774, 160.3244
-8.080101, 1.369311, 8.460918, 391.1254, 160.3696
-8.279614, 1.369311, 8.47487, 375.5774, 160.3244
-8.279614, 1.204311, 8.47487, 375.5774, 172.9602
-8.080101, 1.204311, 8.460918, 391.1254, 173.0279
-8.080101, 1.369311, 8.460918, 391.1254, 160.3696
-8.080101, 1.369311, 8.460918, 391.1254, 160.3696
-8.080101, 1.204311, 8.460918, 391.1254, 173.0279
-8.096589, 1.204311, 8.225131, 394.519, 174.21
-8.096589, 1.369311, 8.225131, 394.519, 161.1582
-8.296103, 1.204311, 8.239082, 378.4823, 174.1381
-8.096589, 1.204311, 8.225131, 394.519, 174.21
-8.080101, 1.204311, 8.460918, 391.1254, 173.0279
-8.279614, 1.204311, 8.47487, 375.5774, 172.9602
-8.296103, 1.369311, 8.239082, 378.4823, 161.1102
-8.296103, 1.204311, 8.239082, 378.4823, 174.1381
-8.279614, 1.204311, 8.47487, 375.5774, 172.9602
-8.279614, 1.369311, 8.47487, 375.5774, 160.3244
-8.096589, 1.369311, 8.225131, 394.519, 161.1582
-8.096589, 1.204311, 8.225131, 394.519, 174.21
-8.296103, 1.204311, 8.239082, 378.4823, 174.1381
-8.296103, 1.369311, 8.239082, 378.4823, 161.1102
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.084038, 1.534311, 8.23538, 395.3019, 148.0886
-8.283916, 1.534311, 8.2284, 379.6407, 148.1007
-8.292166, 1.534311, 8.464621, 374.7925, 147.7052
-8.092287, 1.534311, 8.471601, 389.9857, 147.6938
-8.292166, 1.534311, 8.464621, 374.7925, 147.7052
-8.292166, 1.369311, 8.464621, 374.7925, 160.3575
-8.092287, 1.369311, 8.471601, 389.9857, 160.335
-8.092287, 1.534311, 8.471601, 389.9857, 147.6938
-8.092287, 1.534311, 8.471601, 389.9857, 147.6938
-8.092287, 1.369311, 8.471601, 389.9857, 160.335
-8.084038, 1.369311, 8.23538, 395.3019, 161.1229
-8.084038, 1.534311, 8.23538, 395.3019, 148.0886
-8.283916, 1.369311, 8.2284, 379.6407, 161.1469
-8.084038, 1.369311, 8.23538, 395.3019, 161.1229
-8.092287, 1.369311, 8.471601, 389.9857, 160.335
-8.292166, 1.369311, 8.464621, 374.7925, 160.3575
-8.283916, 1.534311, 8.2284, 379.6407, 148.1007
-8.283916, 1.369311, 8.2284, 379.6407, 161.1469
-8.292166, 1.369311, 8.464621, 374.7925, 160.3575
-8.292166, 1.534311, 8.464621, 374.7925, 147.7052
-8.084038, 1.534311, 8.23538, 395.3019, 148.0886
-8.084038, 1.369311, 8.23538, 395.3019, 161.1229
-8.283916, 1.369311, 8.2284, 379.6407, 161.1469
-8.283916, 1.534311, 8.2284, 379.6407, 148.1007
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.101003, 1.699311, 8.222013, 394.2332, 135.0545
-8.299908, 1.699311, 8.242919, 378.1121, 135.0544
-8.275201, 1.699311, 8.477987, 375.8613, 135.0527
-8.076296, 1.699311, 8.457082, 391.4917, 135.0529
-8.275201, 1.699311, 8.477987, 375.8613, 135.0527
-8.275201, 1.534311, 8.477987, 375.8613, 147.6835
-8.076296, 1.534311, 8.457082, 391.4917, 147.7174
-8.076296, 1.699311, 8.457082, 391.4917, 135.0529
-8.076296, 1.699311, 8.457082, 391.4917, 135.0529
-8.076296, 1.534311, 8.457082, 391.4917, 147.7174
-8.101003, 1.534311, 8.222013, 394.2332, 148.1117
-8.101003, 1.699311, 8.222013, 394.2332, 135.0545
-8.299908, 1.534311, 8.242919, 378.1121, 148.0757
-8.101003, 1.534311, 8.222013, 394.2332, 148.1117
-8.076296, 1.534311, 8.457082, 391.4917, 147.7174
-8.275201, 1.534311, 8.477987, 375.8613, 147.6835
-8.299908, 1.699311, 8.242919, 378.1121, 135.0544
-8.299908, 1.534311, 8.242919, 378.1121, 148.0757
-8.275201, 1.534311, 8.477987, 375.8613, 147.6835
-8.275201, 1.699311, 8.477987, 375.8613, 135.0527
-8.101003, 1.699311, 8.222013, 394.2332, 135.0545
-8.101003, 1.534311, 8.222013, 394.2332, 148.1117
-8.299908, 1.534311, 8.242919, 378.1121, 148.0757
-8.299908, 1.699311, 8.242919, 378.1121, 135.0544
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.701157, 1.380775, 8.237725, 425.4905, 160.2095
-7.900062, 1.380775, 8.21682, 410.2512, 160.2791
-7.92586, 1.380775, 8.462276, 402.9301, 159.4859
-7.726955, 1.380775, 8.483181, 417.7119, 159.4206
-7.92586, 1.380775, 8.462276, 402.9301, 159.4859
-7.92586, 1.204525, 8.462276, 402.9301, 173.0049
-7.726955, 1.204525, 8.483181, 417.7119, 172.9037
-7.726955, 1.380775, 8.483181, 417.7119, 159.4206
-7.726955, 1.380775, 8.483181, 417.7119, 159.4206
-7.726955, 1.204525, 8.483181, 417.7119, 172.9037
-7.701157, 1.204525, 8.237725, 425.4905, 174.1282
-7.701157, 1.380775, 8.237725, 425.4905, 160.2095
-7.900062, 1.204525, 8.21682, 410.2512, 174.2361
-7.701157, 1.204525, 8.237725, 425.4905, 174.1282
-7.726955, 1.204525, 8.483181, 417.7119, 172.9037
-7.92586, 1.204525, 8.462276, 402.9301, 173.0049
-7.900062, 1.380775, 8.21682, 410.2512, 160.2791
-7.900062, 1.204525, 8.21682, 410.2512, 174.2361
-7.92586, 1.204525, 8.462276, 402.9301, 173.0049
-7.92586, 1.380775, 8.462276, 402.9301, 159.4859
-7.701157, 1.380775, 8.237725, 425.4905, 160.2095
-7.701157, 1.204525, 8.237725, 425.4905, 174.1282
-7.900062, 1.204525, 8.21682, 410.2512, 174.2361
-7.900062, 1.380775, 8.21682, 410.2512, 160.2791
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.724645, 1.557025, 8.21835, 424.1051, 146.3198
-7.923883, 1.557025, 8.235782, 407.9446, 146.2938
-7.902372, 1.557025, 8.48165, 404.3246, 145.9397
-7.703134, 1.557025, 8.464219, 419.9694, 145.9641
-7.902372, 1.557025, 8.48165, 404.3246, 145.9397
-7.902372, 1.380775, 8.48165, 404.3246, 159.4254
-7.703134, 1.380775, 8.464219, 419.9694, 159.4798
-7.703134, 1.557025, 8.464219, 419.9694, 145.9641
-7.703134, 1.557025, 8.464219, 419.9694, 145.9641
-7.703134, 1.380775, 8.464219, 419.9694, 159.4798
-7.724645, 1.380775, 8.21835, 424.1051, 160.274
-7.724645, 1.557025, 8.21835, 424.1051, 146.3198
-7.923883, 1.380775, 8.235782, 407.9446, 160.216
-7.724645, 1.380775, 8.21835, 424.1051, 160.274
-7.703134, 1.380775, 8.464219, 419.9694, 159.4798
-7.902372, 1.380775, 8.48165, 404.3246, 159.4254
-7.923883, 1.557025, 8.235782, 407.9446, 146.2938
-7.923883, 1.380775, 8.235782, 407.9446, 160.216
-7.902372, 1.380775, 8.48165, 404.3246, 159.4254
-7.902372, 1.557025, 8.48165, 404.3246, 145.9397
-7.724645, 1.557025, 8.21835, 424.1051, 146.3198
-7.724645, 1.380775, 8.21835, 424.1051, 160.274
-7.923883, 1.380775, 8.235782, 407.9446, 160.216
-7.923883, 1.557025, 8.235782, 407.9446, 146.2938
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.703134, 1.733275, 8.235782, 425.3818, 132.3716
-7.902372, 1.733275, 8.21835, 410.0339, 132.3656
-7.923883, 1.733275, 8.464219, 403.0412, 132.4483
-7.724645, 1.733275, 8.48165, 417.9234, 132.454
-7.923883, 1.733275, 8.464219, 403.0412, 132.4483
-7.923883, 1.557025, 8.464219, 403.0412, 145.9641
-7.724645, 1.557025, 8.48165, 417.9234, 145.9397
-7.724645, 1.733275, 8.48165, 417.9234, 132.454
-7.724645, 1.733275, 8.48165, 417.9234, 132.454
-7.724645, 1.557025, 8.48165, 417.9234, 145.9397
-7.703134, 1.557025, 8.235782, 425.3818, 146.2938
-7.703134, 1.733275, 8.235782, 425.3818, 132.3716
-7.902372, 1.557025, 8.21835, 410.0339, 146.3198
-7.703134, 1.557025, 8.235782, 425.3818, 146.2938
-7.724645, 1.557025, 8.48165, 417.9234, 145.9397
-7.923883, 1.557025, 8.464219, 403.0412, 145.9641
-7.902372, 1.733275, 8.21835, 410.0339, 132.3656
-7.902372, 1.557025, 8.21835, 410.0339, 146.3198
-7.923883, 1.557025, 8.464219, 403.0412, 145.9641
-7.923883, 1.733275, 8.464219, 403.0412, 132.4483
-7.703134, 1.733275, 8.235782, 425.3818, 132.3716
-7.703134, 1.557025, 8.235782, 425.3818, 146.2938
-7.902372, 1.557025, 8.21835, 410.0339, 146.3198
-7.902372, 1.733275, 8.21835, 410.0339, 132.3656
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.323061, 1.369311, 8.240984, 455.2568, 161.1036
-7.522299, 1.369311, 8.223553, 439.9881, 161.1636
-7.5429, 1.369311, 8.459017, 432.3849, 160.3757
-7.343661, 1.369311, 8.476448, 447.2117, 160.3193
-7.5429, 1.369311, 8.459017, 432.3849, 160.3757
-7.5429, 1.204311, 8.459017, 432.3849, 173.0372
-7.343661, 1.204311, 8.476448, 447.2117, 172.9525
-7.343661, 1.369311, 8.476448, 447.2117, 160.3193
-7.343661, 1.369311, 8.476448, 447.2117, 160.3193
-7.343661, 1.204311, 8.476448, 447.2117, 172.9525
-7.323061, 1.204311, 8.240984, 455.2568, 174.1282
-7.323061, 1.369311, 8.240984, 455.2568, 161.1036
-7.522299, 1.204311, 8.223553, 439.9881, 174.2182
-7.323061, 1.204311, 8.240984, 455.2568, 174.1282
-7.343661, 1.204311, 8.476448, 447.2117, 172.9525
-7.5429, 1.204311, 8.459017, 432.3849, 173.0372
-7.522299, 1.369311, 8.223553, 439.9881, 161.1636
-7.522299, 1.204311, 8.223553, 439.9881, 174.2182
-7.5429, 1.204311, 8.459017, 432.3849, 173.0372
-7.5429, 1.369311, 8.459017, 432.3849, 160.3757
-7.323061, 1.369311, 8.240984, 455.2568, 161.1036
-7.323061, 1.204311, 8.240984, 455.2568, 174.1282
-7.522299, 1.204311, 8.223553, 439.9881, 174.2182
-7.522299, 1.369311, 8.223553, 439.9881, 161.1636
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.321175, 1.534311, 8.242919, 455.3509, 148.0757
-7.520079, 1.534311, 8.222013, 440.2044, 148.1117
-7.544785, 1.534311, 8.457082, 432.2877, 147.7174
-7.345881, 1.534311, 8.477987, 447.001, 147.6835
-7.544785, 1.534311, 8.457082, 432.2877, 147.7174
-7.544785, 1.369311, 8.457082, 432.2877, 160.382
-7.345881, 1.369311, 8.477987, 447.001, 160.3143
-7.345881, 1.534311, 8.477987, 447.001, 147.6835
-7.345881, 1.534311, 8.477987, 447.001, 147.6835
-7.345881, 1.369311, 8.477987, 447.001, 160.3143
-7.321175, 1.369311, 8.242919, 455.3509, 161.097
-7.321175, 1.534311, 8.242919, 455.3509, 148.0757
-7.520079, 1.369311, 8.222013, 440.2044, 161.1689
-7.321175, 1.369311, 8.242919, 455.3509, 161.097
-7.345881, 1.369311, 8.477987, 447.001, 160.3143
-7.544785, 1.369311, 8.457082, 432.2877, 160.382
-7.520079, 1.534311, 8.222013, 440.2044, 148.1117
-7.520079, 1.369311, 8.222013, 440.2044, 161.1689
-7.544785, 1.369311, 8.457082, 432.2877, 160.382
-7.544785, 1.534311, 8.457082, 432.2877, 147.7174
-7.321175, 1.534311, 8.242919, 455.3509, 148.0757
-7.321175, 1.369311, 8.242919, 455.3509, 161.097
-7.520079, 1.369311, 8.222013, 440.2044, 161.1689
-7.520079, 1.534311, 8.222013, 440.2044, 148.1117
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.321175, 1.699311, 8.242919, 455.3509, 135.0544
-7.520079, 1.699311, 8.222013, 440.2044, 135.0545
-7.544785, 1.699311, 8.457082, 432.2877, 135.0529
-7.345881, 1.699311, 8.477987, 447.001, 135.0527
-7.544785, 1.699311, 8.457082, 432.2877, 135.0529
-7.544785, 1.534311, 8.457082, 432.2877, 147.7174
-7.345881, 1.534311, 8.477987, 447.001, 147.6835
-7.345881, 1.699311, 8.477987, 447.001, 135.0527
-7.345881, 1.699311, 8.477987, 447.001, 135.0527
-7.345881, 1.534311, 8.477987, 447.001, 147.6835
-7.321175, 1.534311, 8.242919, 455.3509, 148.0757
-7.321175, 1.699311, 8.242919, 455.3509, 135.0544
-7.520079, 1.534311, 8.222013, 440.2044, 148.1117
-7.321175, 1.534311, 8.242919, 455.3509, 148.0757
-7.345881, 1.534311, 8.477987, 447.001, 147.6835
-7.544785, 1.534311, 8.457082, 432.2877, 147.7174
-7.520079, 1.699311, 8.222013, 440.2044, 135.0545
-7.520079, 1.534311, 8.222013, 440.2044, 148.1117
-7.544785, 1.534311, 8.457082, 432.2877, 147.7174
-7.544785, 1.699311, 8.457082, 432.2877, 135.0529
-7.321175, 1.699311, 8.242919, 455.3509, 135.0544
-7.321175, 1.534311, 8.242919, 455.3509, 148.0757
-7.520079, 1.534311, 8.222013, 440.2044, 148.1117
-7.520079, 1.699311, 8.222013, 440.2044, 135.0545
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.323061, 1.864311, 8.240984, 455.2568, 122.0298
-7.522299, 1.864311, 8.223553, 439.9881, 121.9999
-7.5429, 1.864311, 8.459017, 432.3849, 122.3914
-7.343661, 1.864311, 8.476448, 447.2117, 122.4195
-7.5429, 1.864311, 8.459017, 432.3849, 122.3914
-7.5429, 1.699311, 8.459017, 432.3849, 135.0529
-7.343661, 1.699311, 8.476448, 447.2117, 135.0527
-7.343661, 1.864311, 8.476448, 447.2117, 122.4195
-7.343661, 1.864311, 8.476448, 447.2117, 122.4195
-7.343661, 1.699311, 8.476448, 447.2117, 135.0527
-7.323061, 1.699311, 8.240984, 455.2568, 135.0544
-7.323061, 1.864311, 8.240984, 455.2568, 122.0298
-7.522299, 1.699311, 8.223553, 439.9881, 135.0545
-7.323061, 1.699311, 8.240984, 455.2568, 135.0544
-7.343661, 1.699311, 8.476448, 447.2117, 135.0527
-7.5429, 1.699311, 8.459017, 432.3849, 135.0529
-7.522299, 1.864311, 8.223553, 439.9881, 121.9999
-7.522299, 1.699311, 8.223553, 439.9881, 135.0545
-7.5429, 1.699311, 8.459017, 432.3849, 135.0529
-7.5429, 1.864311, 8.459017, 432.3849, 122.3914
-7.323061, 1.864311, 8.240984, 455.2568, 122.0298
-7.323061, 1.699311, 8.240984, 455.2568, 135.0544
-7.522299, 1.699311, 8.223553, 439.9881, 135.0545
-7.522299, 1.864311, 8.223553, 439.9881, 121.9999
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.335058, 2.029311, 8.230091, 454.6173, 108.9678
-7.535028, 2.029311, 8.233582, 438.7183, 108.9798
-7.530902, 2.029311, 8.46991, 433.0365, 109.7651
-7.330933, 2.029311, 8.466419, 448.453, 109.7539
-7.530902, 2.029311, 8.46991, 433.0365, 109.7651
-7.530902, 1.864311, 8.46991, 433.0365, 122.409
-7.330933, 1.864311, 8.466419, 448.453, 122.4034
-7.330933, 2.029311, 8.466419, 448.453, 109.7539
-7.330933, 2.029311, 8.466419, 448.453, 109.7539
-7.330933, 1.864311, 8.466419, 448.453, 122.4034
-7.335058, 1.864311, 8.230091, 454.6173, 122.0111
-7.335058, 2.029311, 8.230091, 454.6173, 108.9678
-7.535028, 1.864311, 8.233582, 438.7183, 122.0171
-7.335058, 1.864311, 8.230091, 454.6173, 122.0111
-7.330933, 1.864311, 8.466419, 448.453, 122.4034
-7.530902, 1.864311, 8.46991, 433.0365, 122.409
-7.535028, 2.029311, 8.233582, 438.7183, 108.9798
-7.535028, 1.864311, 8.233582, 438.7183, 122.0171
-7.530902, 1.864311, 8.46991, 433.0365, 122.409
-7.530902, 2.029311, 8.46991, 433.0365, 109.7651
-7.335058, 2.029311, 8.230091, 454.6173, 108.9678
-7.335058, 1.864311, 8.230091, 454.6173, 122.0111
-7.535028, 1.864311, 8.233582, 438.7183, 122.0171
-7.535028, 2.029311, 8.233582, 438.7183, 108.9798
box_6_melody(Clone) stack 47 Shelf_1 Rack_1_0_0
-7.153426, 1.391943, 8.235398, 468.8154, 159.3351
-7.140865, 1.391943, 8.47507, 462.778, 158.5907
-6.941139, 1.391943, 8.464602, 478.3912, 158.6222
-7.140865, 1.391943, 8.47507, 462.778, 158.5907
-7.140865, 1.204443, 8.47507, 462.778, 172.9492
-6.941139, 1.204443, 8.464602, 478.3912, 172.9999
-6.941139, 1.391943, 8.464602, 478.3912, 158.6222
-6.941139, 1.391943, 8.464602, 478.3912, 158.6222
-6.941139, 1.204443, 8.464602, 478.3912, 172.9999
-7.153426, 1.204443, 8.235398, 468.8154, 174.1466
-6.941139, 1.204443, 8.464602, 478.3912, 172.9999
-7.140865, 1.204443, 8.47507, 462.778, 172.9492
-7.153426, 1.391943, 8.235398, 468.8154, 159.3351
-7.153426, 1.204443, 8.235398, 468.8154, 174.1466
-7.140865, 1.204443, 8.47507, 462.778, 172.9492
-7.140865, 1.391943, 8.47507, 462.778, 158.5907
-7.153426, 1.204443, 8.235398, 468.8154, 174.1466
-7.153426, 1.391943, 8.235398, 468.8154, 159.3351
box_6_melody(Clone) stack 47 Shelf_1 Rack_1_0_0
-7.159278, 1.579443, 8.241111, 468.1815, 144.5163
-7.134192, 1.579443, 8.479795, 463.1544, 144.2266
-6.935287, 1.579443, 8.45889, 479.0145, 144.2512
-7.134192, 1.579443, 8.479795, 463.1544, 144.2266
-7.134192, 1.391943, 8.479795, 463.1544, 158.5764
-6.935287, 1.391943, 8.45889, 479.0145, 158.6394
-6.935287, 1.579443, 8.45889, 479.0145, 144.2512
-6.935287, 1.579443, 8.45889, 479.0145, 144.2512
-6.935287, 1.391943, 8.45889, 479.0145, 158.6394
-7.159278, 1.391943, 8.241111, 468.1815, 159.3167
-6.935287, 1.391943, 8.45889, 479.0145, 158.6394
-7.134192, 1.391943, 8.479795, 463.1544, 158.5764
-7.159278, 1.579443, 8.241111, 468.1815, 144.5163
-7.159278, 1.391943, 8.241111, 468.1815, 159.3167
-7.134192, 1.391943, 8.479795, 463.1544, 158.5764
-7.134192, 1.579443, 8.479795, 463.1544, 144.2266
-7.159278, 1.391943, 8.241111, 468.1815, 159.3167
-7.159278, 1.579443, 8.241111, 468.1815, 144.5163
box_1_Parle-G-GOLD(Clone) stack 48 Shelf_2 Rack_1_0_0
-8.074084, 2.560843, 8.245652, 395.8774, 67.08922
-8.274085, 2.560843, 8.245652, 380.0996, 67.08922
