box_1_Parle-G-GOLD(Clone) stack 42 Shelf_0 Rack_1_0_0
-7.908773, 0.5486813, 8.223182, 448.9803, 226.0952
-7.908773, 0.7249313, 8.223182, 448.9803, 212.1498
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.096589, 1.369311, 8.225131, 434.0701, 161.1582
-8.296103, 1.369311, 8.239082, 417.9607, 161.1102
-8.279614, 1.369311, 8.47487, 413.8678, 160.3244
-8.080101, 1.369311, 8.460918, 429.4841, 160.3696
-8.279614, 1.369311, 8.47487, 413.8678, 160.3244
-8.279614, 1.204311, 8.47487, 413.8678, 172.9602
-8.080101, 1.204311, 8.460918, 429.4841, 173.0279
-8.080101, 1.369311, 8.460918, 429.4841, 160.3696
-8.080101, 1.369311, 8.460918, 429.4841, 160.3696
-8.080101, 1.204311, 8.460918, 429.4841, 173.0279
-8.096589, 1.204311, 8.225131, 434.0701, 174.21
-8.096589, 1.369311, 8.225131, 434.0701, 161.1582
-8.296103, 1.204311, 8.239082, 417.9607, 174.1381
-8.096589, 1.204311, 8.225131, 434.0701, 174.21
-8.080101, 1.204311, 8.460918, 429.4841, 173.0279
-8.279614, 1.204311, 8.47487, 413.8678, 172.9602
-8.296103, 1.369311, 8.239082, 417.9607, 161.1102
-8.296103, 1.204311, 8.239082, 417.9607, 174.1381
-8.279614, 1.204311, 8.47487, 413.8678, 172.9602
-8.279614, 1.369311, 8.47487, 413.8678, 160.3244
-8.096589, 1.369311, 8.225131, 434.0701, 161.1582
-8.096589, 1.204311, 8.225131, 434.0701, 174.21
-8.296103, 1.204311, 8.239082, 417.9607, 174.1381
-8.296103, 1.369311, 8.239082, 417.9607, 161.1102
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.084038, 1.534311, 8.23538, 434.7996, 148.0886
-8.283916, 1.534311, 8.2284, 419.1748, 148.1007
-8.292166, 1.534311, 8.464621, 413.133, 147.7052
-8.092287, 1.534311, 8.471601, 428.292, 147.6938
-8.292166, 1.534311, 8.464621, 413.133, 147.7052
-8.292166, 1.369311, 8.464621, 413.133, 160.3575
-8.092287, 1.369311, 8.471601, 428.292, 160.335
-8.092287, 1.534311, 8.471601, 428.292, 147.6938
-8.092287, 1.534311, 8.471601, 428.292, 147.6938
-8.092287, 1.369311, 8.471601, 428.292, 160.335
-8.084038, 1.369311, 8.23538, 434.7996, 161.1229
-8.084038, 1.534311, 8.23538, 434.7996, 148.0886
-8.283916, 1.369311, 8.2284, 419.1748, 161.1469
-8.084038, 1.369311, 8.23538, 434.7996, 161.1229
-8.092287, 1.369311, 8.471601, 428.292, 160.335
-8.292166, 1.369311, 8.464621, 413.133, 160.3575
-8.283916, 1.534311, 8.2284, 419.1748, 148.1007
-8.283916, 1.369311, 8.2284, 419.1748, 161.1469
-8.292166, 1.369311, 8.464621, 413.133, 160.3575
-8.292166, 1.534311, 8.464621, 413.133, 147.7052
-8.084038, 1.534311, 8.23538, 434.7996, 148.0886
-8.084038, 1.369311, 8.23538, 434.7996, 161.1229
-8.283916, 1.369311, 8.2284, 419.1748, 161.1469
-8.283916, 1.534311, 8.2284, 419.1748, 148.1007
box4_Fairever(Clone) stack 44 Shelf_1 Rack_1_0_0
-8.101003, 1.699311, 8.222013, 433.8005, 135.0545
-8.299908, 1.699311, 8.242919, 417.5706, 135.0544
-8.275201, 1.699311, 8.477987, 414.1365, 135.0527
-8.076296, 1.699311, 8.457082, 429.8691, 135.0529
-8.275201, 1.699311, 8.477987, 414.1365, 135.0527
-8.275201, 1.534311, 8.477987, 414.1365, 147.6835
-8.076296, 1.534311, 8.457082, 429.8691, 147.7174
-8.076296, 1.699311, 8.457082, 429.8691, 135.0529
-8.076296, 1.699311, 8.457082, 429.8691, 135.0529
-8.076296, 1.534311, 8.457082, 429.8691, 147.7174
-8.101003, 1.534311, 8.222013, 433.8005, 148.1117
-8.101003, 1.699311, 8.222013, 433.8005, 135.0545
-8.299908, 1.534311, 8.242919, 417.5706, 148.0757
-8.101003, 1.534311, 8.222013, 433.8005, 148.1117
-8.076296, 1.534311, 8.457082, 429.8691, 147.7174
-8.275201, 1.534311, 8.477987, 414.1365, 147.6835
-8.299908, 1.699311, 8.242919, 417.5706, 135.0544
-8.299908, 1.534311, 8.242919, 417.5706, 148.0757
-8.275201, 1.534311, 8.477987, 414.1365, 147.6835
-8.275201, 1.699311, 8.477987, 414.1365, 135.0527
-8.101003, 1.699311, 8.222013, 433.8005, 135.0545
-8.101003, 1.534311, 8.222013, 433.8005, 148.1117
-8.299908, 1.534311, 8.242919, 417.5706, 148.0757
-8.299908, 1.699311, 8.242919, 417.5706, 135.0544
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.701157, 1.380775, 8.237725, 464.976, 160.2095
-7.900062, 1.380775, 8.21682, 449.8457, 160.2791
-7.92586, 1.380775, 8.462276, 441.2821, 159.4859
-7.726955, 1.380775, 8.483181, 455.9617, 159.4206
-7.92586, 1.380775, 8.462276, 441.2821, 159.4859
-7.92586, 1.204525, 8.462276, 441.2821, 173.0049
-7.726955, 1.204525, 8.483181, 455.9617, 172.9037
-7.726955, 1.380775, 8.483181, 455.9617, 159.4206
-7.726955, 1.380775, 8.483181, 455.9617, 159.4206
-7.726955, 1.204525, 8.483181, 455.9617, 172.9037
-7.701157, 1.204525, 8.237725, 464.976, 174.1282
-7.701157, 1.380775, 8.237725, 464.976, 160.2095
-7.900062, 1.204525, 8.21682, 449.8457, 174.2361
-7.701157, 1.204525, 8.237725, 464.976, 174.1282
-7.726955, 1.204525, 8.483181, 455.9617, 172.9037
-7.92586, 1.204525, 8.462276, 441.2821, 173.0049
-7.900062, 1.380775, 8.21682, 449.8457, 160.2791
-7.900062, 1.204525, 8.21682, 449.8457, 174.2361
-7.92586, 1.204525, 8.462276, 441.2821, 173.0049
-7.92586, 1.380775, 8.462276, 441.2821, 159.4859
-7.701157, 1.380775, 8.237725, 464.976, 160.2095
-7.701157, 1.204525, 8.237725, 464.976, 174.1282
-7.900062, 1.204525, 8.21682, 449.8457, 174.2361
-7.900062, 1.380775, 8.21682, 449.8457, 160.2791
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.724645, 1.557025, 8.21835, 463.6916, 146.3198
-7.923883, 1.557025, 8.235782, 447.4401, 146.2938
-7.902372, 1.557025, 8.48165, 442.5819, 145.9397
-7.703134, 1.557025, 8.464219, 458.3118, 145.9641
-7.902372, 1.557025, 8.48165, 442.5819, 145.9397
-7.902372, 1.380775, 8.48165, 442.5819, 159.4254
-7.703134, 1.380775, 8.464219, 458.3118, 159.4798
-7.703134, 1.557025, 8.464219, 458.3118, 145.9641
-7.703134, 1.557025, 8.464219, 458.3118, 145.9641
-7.703134, 1.380775, 8.464219, 458.3118, 159.4798
-7.724645, 1.380775, 8.21835, 463.6916, 160.274
-7.724645, 1.557025, 8.21835, 463.6916, 146.3198
-7.923883, 1.380775, 8.235782, 447.4401, 160.216
-7.724645, 1.380775, 8.21835, 463.6916, 160.274
-7.703134, 1.380775, 8.464219, 458.3118, 159.4798
-7.902372, 1.380775, 8.48165, 442.5819, 159.4254
-7.923883, 1.557025, 8.235782, 447.4401, 146.2938
-7.923883, 1.380775, 8.235782, 447.4401, 160.216
-7.902372, 1.380775, 8.48165, 442.5819, 159.4254
-7.902372, 1.557025, 8.48165, 442.5819, 145.9397
-7.724645, 1.557025, 8.21835, 463.6916, 146.3198
-7.724645, 1.380775, 8.21835, 463.6916, 160.274
-7.923883, 1.380775, 8.235782, 447.4401, 160.216
-7.923883, 1.557025, 8.235782, 447.4401, 146.2938
box_8_lizol(Clone) stack 45 Shelf_1 Rack_1_0_0
-7.703134, 1.733275, 8.235782, 464.8774, 132.3716
-7.902372, 1.733275, 8.21835, 449.6203, 132.3656
-7.923883, 1.733275, 8.464219, 441.3837, 132.4483
-7.724645, 1.733275, 8.48165, 456.1807, 132.454
-7.923883, 1.733275, 8.464219, 441.3837, 132.4483
-7.923883, 1.557025, 8.464219, 441.3837, 145.9641
-7.724645, 1.557025, 8.48165, 456.1807, 145.9397
-7.724645, 1.733275, 8.48165, 456.1807, 132.454
-7.724645, 1.733275, 8.48165, 456.1807, 132.454
-7.724645, 1.557025, 8.48165, 456.1807, 145.9397
-7.703134, 1.557025, 8.235782, 464.8774, 146.2938
-7.703134, 1.733275, 8.235782, 464.8774, 132.3716
-7.902372, 1.557025, 8.21835, 449.6203, 146.3198
-7.703134, 1.557025, 8.235782, 464.8774, 146.2938
-7.724645, 1.557025, 8.48165, 456.1807, 145.9397
-7.923883, 1.557025, 8.464219, 441.3837, 145.9641
-7.902372, 1.733275, 8.21835, 449.6203, 132.3656
-7.902372, 1.557025, 8.21835, 449.6203, 146.3198
-7.923883, 1.557025, 8.464219, 441.3837, 145.9641
-7.923883, 1.733275, 8.464219, 441.3837, 132.4483
-7.703134, 1.733275, 8.235782, 464.8774, 132.3716
-7.703134, 1.557025, 8.235782, 464.8774, 146.2938
-7.902372, 1.557025, 8.21835, 449.6203, 146.3198
-7.902372, 1.733275, 8.21835, 449.6203, 132.3656
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.522299, 1.369311, 8.223553, 479.5474, 161.1636
-7.5429, 1.369311, 8.459017, 470.7528, 160.3757
-7.5429, 1.369311, 8.459017, 470.7528, 160.3757
-7.5429, 1.204311, 8.459017, 470.7528, 173.0372
-7.522299, 1.204311, 8.223553, 479.5474, 174.2182
-7.5429, 1.204311, 8.459017, 470.7528, 173.0372
-7.522299, 1.369311, 8.223553, 479.5474, 161.1636
-7.522299, 1.204311, 8.223553, 479.5474, 174.2182
-7.5429, 1.204311, 8.459017, 470.7528, 173.0372
-7.5429, 1.369311, 8.459017, 470.7528, 160.3757
-7.522299, 1.204311, 8.223553, 479.5474, 174.2182
-7.522299, 1.369311, 8.223553, 479.5474, 161.1636
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.520079, 1.534311, 8.222013, 479.7718, 148.1117
-7.544785, 1.534311, 8.457082, 470.6652, 147.7174
-7.544785, 1.534311, 8.457082, 470.6652, 147.7174
-7.544785, 1.369311, 8.457082, 470.6652, 160.382
-7.520079, 1.369311, 8.222013, 479.7718, 161.1689
-7.544785, 1.369311, 8.457082, 470.6652, 160.382
-7.520079, 1.534311, 8.222013, 479.7718, 148.1117
-7.520079, 1.369311, 8.222013, 479.7718, 161.1689
-7.544785, 1.369311, 8.457082, 470.6652, 160.382
-7.544785, 1.534311, 8.457082, 470.6652, 147.7174
-7.520079, 1.369311, 8.222013, 479.7718, 161.1689
-7.520079, 1.534311, 8.222013, 479.7718, 148.1117
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.520079, 1.699311, 8.222013, 479.7718, 135.0545
-7.544785, 1.699311, 8.457082, 470.6652, 135.0529
-7.544785, 1.699311, 8.457082, 470.6652, 135.0529
-7.544785, 1.534311, 8.457082, 470.6652, 147.7174
-7.520079, 1.534311, 8.222013, 479.7718, 148.1117
-7.544785, 1.534311, 8.457082, 470.6652, 147.7174
-7.520079, 1.699311, 8.222013, 479.7718, 135.0545
-7.520079, 1.534311, 8.222013, 479.7718, 148.1117
-7.544785, 1.534311, 8.457082, 470.6652, 147.7174
-7.544785, 1.699311, 8.457082, 470.6652, 135.0529
-7.520079, 1.534311, 8.222013, 479.7718, 148.1117
-7.520079, 1.699311, 8.222013, 479.7718, 135.0545
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.522299, 1.864311, 8.223553, 479.5474, 121.9999
-7.5429, 1.864311, 8.459017, 470.7528, 122.3914
-7.5429, 1.864311, 8.459017, 470.7528, 122.3914
-7.5429, 1.699311, 8.459017, 470.7528, 135.0529
-7.522299, 1.699311, 8.223553, 479.5474, 135.0545
-7.5429, 1.699311, 8.459017, 470.7528, 135.0529
-7.522299, 1.864311, 8.223553, 479.5474, 121.9999
-7.522299, 1.699311, 8.223553, 479.5474, 135.0545
-7.5429, 1.699311, 8.459017, 470.7528, 135.0529
-7.5429, 1.864311, 8.459017, 470.7528, 122.3914
-7.522299, 1.699311, 8.223553, 479.5474, 135.0545
-7.522299, 1.864311, 8.223553, 479.5474, 121.9999
box4_Fairever(Clone) stack 46 Shelf_1 Rack_1_0_0
-7.535028, 2.029311, 8.233582, 478.2253, 108.9798
-7.530902, 2.029311, 8.46991, 471.3512, 109.7651
-7.530902, 2.029311, 8.46991, 471.3512, 109.7651
-7.530902, 1.864311, 8.46991, 471.3512, 122.409
-7.535028, 1.864311, 8.233582, 478.2253, 122.0171
-7.530902, 1.864311, 8.46991, 471.3512, 122.409
-7.535028, 2.029311, 8.233582, 478.2253, 108.9798
-7.535028, 1.864311, 8.233582, 478.2253, 122.0171
-7.530902, 1.864311, 8.46991, 471.3512, 122.409
-7.530902, 2.029311, 8.46991, 471.3512, 109.7651
-7.535028, 1.864311, 8.233582, 478.2253, 122.0171
-7.535028, 2.029311, 8.233582, 478.2253, 108.9798
box_1_Parle-G-GOLD(Clone) stack 48 Shelf_2 Rack_1_0_0
-8.074084, 2.560843, 8.245652, 435.3217, 67.08922
-8.274085, 2.560843, 8.245652, 419.5439, 67.08922
-8.274085, 2.560843, 8.454349, 414.7489, 68.90291
-8.074084, 2.560843, 8.454349, 430.1053, 68.90291
-8.274085, 2.560843, 8.454349, 414.7489, 68.90291
-8.274085, 2.388343, 8.454349, 414.7489, 82.14775
-8.074084, 2.388343, 8.454349, 430.1053, 82.14775
-8.074084, 2.560843, 8.454349, 430.1053, 68.90291
-8.074084, 2.560843, 8.454349, 430.1053, 68.90291
-8.074084, 2.388343, 8.454349, 430.1053, 82.14775
-8.074084, 2.388343, 8.245652, 435.3217, 80.69751
-8.074084, 2.560843, 8.245652, 435.3217, 67.08922
-8.274085, 2.388343, 8.245652, 419.5439, 80.69751
-8.074084, 2.388343, 8.245652, 435.3217, 80.69751
-8.074084, 2.388343, 8.454349, 430.1053, 82.14775
-8.274085, 2.388343, 8.454349, 414.7489, 82.14775
-8.274085, 2.560843, 8.245652, 419.5439, 67.08922
-8.274085, 2.388343, 8.245652, 419.5439, 80.69751
-8.274085, 2.388343, 8.454349, 414.7489, 82.14775
-8.274085, 2.560843, 8.454349, 414.7489, 68.90291
-8.074084, 2.560843, 8.245652, 435.3217, 67.08922
-8.074084, 2.388343, 8.245652, 435.3217, 80.69751
-8.274085, 2.388343, 8.245652, 419.5439, 80.69751
-8.274085, 2.560843, 8.245652, 419.5439, 67.08922
box_8_lizol(Clone) stack 49 Shelf_2 Rack_1_0_0
-7.7016, 2.565368, 8.21835, 465.5161, 66.48628
-7.900839, 2.565368, 8.235782, 449.2604, 66.64352
-7.879328, 2.565368, 8.48165, 444.3452, 68.78677
-7.680089, 2.565368, 8.464219, 460.079, 68.63925
-7.879328, 2.565368, 8.48165, 444.3452, 68.78677
-7.879328, 2.389118, 8.48165, 444.3452, 82.27245
-7.680089, 2.389118, 8.464219, 460.079, 82.15498
-7.680089, 2.565368, 8.464219, 460.079, 68.63925
-7.680089, 2.565368, 8.464219, 460.079, 68.63925
-7.680089, 2.389118, 8.464219, 460.079, 82.15498
-7.7016, 2.389118, 8.21835, 465.5161, 80.44051
-7.7016, 2.565368, 8.21835, 465.5161, 66.48628
-7.900839, 2.389118, 8.235782, 449.2604, 80.5657
-7.7016, 2.389118, 8.21835, 465.5161, 80.44051
-7.680089, 2.389118, 8.464219, 460.079, 82.15498
-7.879328, 2.389118, 8.48165, 444.3452, 82.27245
-7.900839, 2.565368, 8.235782, 449.2604, 66.64352
-7.900839, 2.389118, 8.235782, 449.2604, 80.5657
-7.879328, 2.389118, 8.48165, 444.3452, 82.27245
-7.879328, 2.565368, 8.48165, 444.3452, 68.78677
-7.7016, 2.565368, 8.21835, 465.5161, 66.48628
-7.7016, 2.389118, 8.21835, 465.5161, 80.44051
-7.900839, 2.389118, 8.235782, 449.2604, 80.5657
-7.900839, 2.565368, 8.235782, 449.2604, 66.64352
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.496747, 2.599012, 8.453429, 474.462, 65.96407
-7.496747, 2.599012, 8.453429, 474.462, 65.96407
-7.496747, 2.389012, 8.453429, 474.462, 82.09015
-7.496747, 2.389012, 8.453429, 474.462, 82.09015
-7.496747, 2.389012, 8.453429, 474.462, 82.09015
-7.496747, 2.599012, 8.453429, 474.462, 65.96407
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.498538, 2.809012, 8.451731, 474.3754, 49.81947
-7.498538, 2.809012, 8.451731, 474.3754, 49.81947
-7.498538, 2.599012, 8.451731, 474.3754, 65.94907
-7.498538, 2.599012, 8.451731, 474.3754, 65.94907
-7.498538, 2.599012, 8.451731, 474.3754, 65.94907
-7.498538, 2.809012, 8.451731, 474.3754, 49.81947
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.505394, 3.019012, 8.255371, 479.8784, 31.07762
-7.494927, 3.019012, 8.455097, 474.5516, 33.73352
-7.494927, 3.019012, 8.455097, 474.5516, 33.73352
-7.494927, 2.809012, 8.455097, 474.5516, 49.85616
-7.505394, 2.809012, 8.255371, 479.8784, 47.62312
-7.494927, 2.809012, 8.455097, 474.5516, 49.85616
-7.505394, 3.019012, 8.255371, 479.8784, 31.07762
-7.505394, 2.809012, 8.255371, 479.8784, 47.62312
-7.494927, 2.809012, 8.455097, 474.5516, 49.85616
-7.494927, 3.019012, 8.455097, 474.5516, 33.73352
-7.505394, 2.809012, 8.255371, 479.8784, 47.62312
-7.505394, 3.019012, 8.255371, 479.8784, 31.07762
box_7_litchi(Clone) stack 50 Shelf_2 Rack_1_0_0
-7.496747, 3.229012, 8.453429, 474.462, 17.5858
-7.496747, 3.229012, 8.453429, 474.462, 17.5858
-7.496747, 3.019012, 8.453429, 474.462, 33.71188
-7.496747, 3.019012, 8.453429, 474.462, 33.71188
-7.496747, 3.019012, 8.453429, 474.462, 33.71188
-7.496747, 3.229012, 8.453429, 474.462, 17.5858
box_2_Parle-G(Clone) stack 52 Shelf_0 Rack_1_0_1
-10.27907, 0.2744219, 8.273895, 261.294, 247.0459
-10.47831, 0.2744219, 8.291327, 245.6217, 246.7907
-10.46652, 0.2744219, 8.426105, 246.4331, 244.8556
-10.26728, 0.2744219, 8.408674, 261.8353, 245.102
-10.46652, 0.2744219, 8.426105, 246.4331, 244.8556
-10.46652, 0.01942196, 8.426105, 246.4331, 264.506
-10.26728, 0.01942196, 8.408674, 261.8353, 264.7965
-10.26728, 0.2744219, 8.408674, 261.8353, 245.102
-10.26728, 0.2744219, 8.408674, 261.8353, 245.102
-10.26728, 0.01942196, 8.408674, 261.8353, 264.7965
-10.27907, 0.01942196, 8.273895, 261.294, 267.0881
-10.27907, 0.2744219, 8.273895, 261.294, 247.0459
-10.47831, 0.01942196, 8.291327, 245.6217, 266.7872
-10.27907, 0.01942196, 8.273895, 261.294, 267.0881
-10.26728, 0.01942196, 8.408674, 261.8353, 264.7965
-10.46652, 0.01942196, 8.426105, 246.4331, 264.506
-10.47831, 0.2744219, 8.291327, 245.6217, 246.7907
-10.47831, 0.01942196, 8.291327, 245.6217, 266.7872
-10.46652, 0.01942196, 8.426105, 246.4331, 264.506
-10.46652, 0.2744219, 8.426105, 246.4331, 244.8556
-10.27907, 0.2744219, 8.273895, 261.294, 247.0459
-10.27907, 0.01942196, 8.273895, 261.294, 267.0881
-10.47831, 0.01942196, 8.291327, 245.6217, 266.7872
-10.47831, 0.2744219, 8.291327, 245.6217, 246.7907
box_2_Parle-G(Clone) stack 52 Shelf_0 Rack_1_0_1
-10.27399, 0.529422, 8.280619, 261.6743, 226.9228
-10.47396, 0.529422, 8.284109, 245.9684, 226.8808
-10.4716, 0.529422, 8.419382, 246.0467, 225.2831
-10.27163, 0.529422, 8.415892, 261.4794, 225.3236
-10.4716, 0.529422, 8.419382, 246.0467, 225.2831
-10.4716, 0.274422, 8.419382, 246.0467, 244.9505
-10.27163, 0.274422, 8.415892, 261.4794, 244.9998
-10.27163, 0.529422, 8.415892, 261.4794, 225.3236
-10.27163, 0.529422, 8.415892, 261.4794, 225.3236
-10.27163, 0.274422, 8.415892, 261.4794, 244.9998
-10.27399, 0.2744219, 8.280619, 261.6743, 246.9473
-10.27399, 0.529422, 8.280619, 261.6743, 226.9228
-10.47396, 0.2744219, 8.284109, 245.9684, 246.8962
-10.27399, 0.2744219, 8.280619, 261.6743, 246.9473
-10.27163, 0.274422, 8.415892, 261.4794, 244.9998
-10.4716, 0.274422, 8.419382, 246.0467, 244.9505
-10.47396, 0.529422, 8.284109, 245.9684, 226.8808
-10.47396, 0.2744219, 8.284109, 245.9684, 246.8962
-10.4716, 0.274422, 8.419382, 246.0467, 244.9505
-10.4716, 0.529422, 8.419382, 246.0467, 225.2831
-10.27399, 0.529422, 8.280619, 261.6743, 226.9228
-10.27399, 0.2744219, 8.280619, 261.6743, 246.9473
